GR-IDENTIFICACAO-UORG;IT-NO-UNIDADE-ORGANIZACIONAL;IT-SG-UNIDADE-ORGANIZACIONAL;IT-SG-UF;GR-CEST-IDENTIFICACAO-UPAG;IT-CO-UORG-VINCULACAO
33200000000858;MTE/SRTE-MG/GRTE-VARGINHA/ARTE-CAXAMBU;ARTE-CAXAM;MG;33200000001094;33200000000849
33200000000774;MTE/SRTE-MA/ARTE-CAXIAS;ARTE-CAXIA;MA;33200000001094;33200000001709
33200000000697;MTE/SRTE-DF/ARTE-CEILANDIA;ARTE-CEILA;DF;33200000001094;33200000001550
33200000000776;ARTE EM CHAPADINHA;ARTE-CHAPA;MA;33200000001094;33200000000770
33200000001750;AG REGIONAL DO TRAB E EMPR EM CHAPADINHA;ARTE-CHAPA;MA;33200000001094;33200000001709
33200000000734;MTE/SRTE-PR/GRTE-MARINGA/ARTE-CIANORTE;ARTE-CIANO;PR;33200000001094;33200000000731
33200000000771;ARTE EM CODO;ARTE-CODO;MA;33200000001094;33200000000770
33200000001751;AG REGIONAL DO TRAB E EMPR EM CODO;ARTE-CODO;MA;33200000001094;33200000001709
33200000000149;MTE/SRTE-SC/GRTE-CHAPECO/ARTE-CONCORDIA;ARTE-CONCO;SC;33200000001094;33200000000147
33200000000478;MTE/SRTE-RJ/ARTE-COPACABANA;ARTE-COPAC;RJ;33200000001094;33200000000412
33200000000745;MTE/SRTE-PR/.../ARTE-CORNELIO PROC;ARTE-CORNE;PR;33200000001094;33200000000742
33200000000707;MTE/SRTE-PI/ARTE-CORRENTE;ARTE-CORRE;PI;33200000001094;33200000001705
33200000000068;MTE/SRTE-MS/ARTE-CORUMBA;ARTE-CORUM;MS;33200000001094;33200000001704
33200000000388;MTE/SRTE-SP/GRTE-OSASCO/ARTE-COTIA;ARTE-COTIA;SP;33200000001094;33200000000385
33200000000509;MTE/SRTE-CE/.../ARTE-CRATO;ARTE-CRATO;CE;33200000001094;33200000001545
33200000000360;MTE/SRTE-SP/.../ARTE-CRUZEIRO;ARTE-CRUZE;SP;33200000001094;33200000000358
33200000000632;MTE/SRTE-AC/ARTE-CRUZEIRO DO SUL;ARTE-CRUZE;AC;33200000001094;33200000001703
33200000001033;MTE/SRTE-RN/ARTE-CURRAIS NOVOS;ARTE-CURRA;RN;33200000001094;33200000001710
33200000000881;MTE/SRTE-MG/GRTE-CONTAGEM/ARTE-CURVELO;ARTE-CURVE;MG;33200000001094;33200000000879
33200000000838;MTE/SRTE-AL/ARTE-DELMIRO GOUVEIA;ARTE-DELMG;AL;33200000001094;33200000001686
33200000000883;ARTE EM DIAMANTINA;ARTE-DIAMA;MG;33200000001094;33200000000879
33200000001481;AG REGIONAL DO TRAB E EMPR EM DIAMANTINA;ARTE-DIAMA;MG;33200000001094;33200000000879
33200000000189;MTE/SRTE-SE/ARTE-ESTANCIA;ARTE-ESTAN;SE;33200000001094;33200000001693
33200000000618;ARTE EM FLORESTA;ARTE-FLORE;PE;33200000001094;33200000000614
33200000001466;AG REGIONAL DO TRAB E EMPR EM FLORESTA;ARTE-FLORE;PE;33200000001094;33200000000614
33200000000703;MTE/SRTE-PI/ARTE-FLORIANO;ARTE-FLORI;PI;33200000001094;33200000001705
33200000000936;ARTE EM FORMIGA;ARTE-FORMI;MG;33200000001094;33200000000933
33200000001477;AG REGIONAL DO TRAB E EMPR EM FORMIGA;ARTE-FORMI;MG;33200000001094;33200000000933
33200000000508;MTE/SRTE-CE/ARTE-FORTALEZA I;ARTE-FORTA;CE;33200000001094;33200000000495
33200000000510;MTE/SRTE-CE/ARTE-FORTALEZA II;ARTE-FORTA;CE;33200000001094;33200000000495
33200000001943;ARTE-FORTALEZA III;ARTE-FORTA;CE;33200000001094;33200000000495
33200000000740;MTE/SRTE-PR/.../ARTE-FRANC BELTRAO;ARTE-FRANC;PR;33200000001094;33200000000739
33200000000679;MTE/SRTE-DF/ARTE-GAMA;ARTE-GAMA;DF;33200000001094;33200000001550
33200000000588;MTE/SRTE-PE/ARTE-GOIANA;ARTE-GOIAN;PE;33200000001094;33200000000578
33200000000113;ARTE EM GOIAS;ARTE-GOIAS;GO;33200000001094;33200000000081
33200000001356;AG REGIONAL DO TRAB E EMPR EM GO;ARTE-GOIAS;GO;33200000001094;33200000000081
33200000000205;ARTE EM GRAVATAI;ARTE-GRAVA;RS;33200000001094;33200000000199
33200000000607;MTE/SRTE-PE/GRTE-CARUARU/ARTE-GRAVATA;ARTE-GRAVA;PE;33200000001094;33200000000601
33200000001349;AG REGIONAL DO TRAB E EMPR EM GRAVATAI;ARTE-GRAVA;RS;33200000001094;33200000000199
33200000000574;MTE/SRTE-RO/ARTE-GUAJARA-MIRIM;ARTE-GUAJ-;RO;33200000001094;33200000001555
33200000001008;MTE/SRTE-BA/.../ARTE-GUANAMBI;ARTE-GUANA;BA;33200000001094;33200000001004
33200000000361;MTE/SRTE-SP/.../ARTE-GUARATINGUETA;ARTE-GUARA;SP;33200000001094;33200000000358
33200000000661;MTE/SRTE-ES/ARTE-GUARAPARI;ARTE-GUARA;ES;33200000001094;33200000000644
33200000000730;ARTE EM GUARAPUAVA;ARTE-GUARA;PR;33200000001094;33200000000726
33200000000056;ARTE EM GURUPI;ARTE-GURUP;TO;33200000001094;33200000000037
33200000001746;AG REGIONAL DO TRAB E EMPR EM GURUPI;ARTE-GURUP;TO;33200000001094;33200000001701
33200000000542;MTE/SRTE-AM/ARTE-HUMAITA;ARTE-HUMAI;AM;33200000001094;33200000000531
33200000000342;MTE/SRTE-SP/.../ARTE-IBITINGA;ARTE-IBITI;SP;33200000001094;33200000000339
33200000000502;MTE/SRTE-CE/.../ARTE-IGUATU;ARTE-IGUAT;CE;33200000001094;33200000001545
